MOD:   CHAIN   MOVE      ACC      LPPD           LPPD0             LHNORM         LHNORM0  N  HPARAM
MOD:  1   2150000    5                 0          36150.38281250            620.22814941           3596.60351562           3596.60351562     1        2.72598
MOD:  1   2160000    5                 1            565.81353760            565.81353760           3623.03100586           3623.03100586     1        2.74601
MOD:  1   2170000    1                 0            906.49572754            611.13049316           3489.13183594           3602.09228516     1        2.73014
MOD:  1   2180000    5                 1            569.58416748            569.58416748           3622.75048828           3622.75048828     1        2.74580
MOD:  1   2190000    4                 1            633.26678467            633.26678467           3593.96191406           3593.96191406     1        2.72398
MOD:  1   2200000    3                 0           1273.02270508            556.37585449           3628.16894531           3628.16894531     1        2.74990
MOD:  1   2210000    2                 1            535.56762695            535.56762695           3638.88940430           3638.88940430     1        2.75803
MOD:  1   2220000    4                 1            594.00958252            594.00958252           3610.51757812           3610.51757812     1        2.73652
MOD:  1   2230000    2                 1            539.42126465            539.42126465           3637.16235352           3637.16235352     1        2.75672
MOD:  1   2240000    5                 1            535.37200928            535.37200928           3639.67358398           3639.67358398     1        2.75862
MOD:  1   2250000    5                 1            556.89062500            556.89062500           3628.40014648           3628.40014648     1        2.75008
MOD:  1   2260000    2                 1            590.46411133            590.46411133           3611.17553711           3611.17553711     1        2.73702
MOD:  1   2270000    5                 1            534.70196533            534.70196533           3640.76025391           3640.76025391     1        2.75945
MOD:  1   2280000    3                 1            580.68200684            580.68200684           3616.02978516           3616.02978516     1        2.74070
MOD:  1   2290000    2                 1            573.19415283            573.19415283           3620.02465820           3620.02465820     1        2.74373
MOD:  1   2300000    4                -1            527.05438232            527.05438232           3643.96997070           3643.96997070     1        2.76188
MOD:  1   2310000    1                 0            823.38494873            576.89331055           3515.81323242           3617.74023438     1        2.74200
MOD:  1   2320000    2                 1            605.99688721            605.99688721           3606.25683594           3606.25683594     1        2.73329
MOD:  1   2330000    5                 1            632.66625977            632.66625977           3591.23095703           3591.23095703     1        2.72191
MOD:  1   2340000    2                 1            558.55139160            558.55139160           3627.02880859           3627.02880859     1        2.74904
MOD:  1   2350000    2                 1            595.13952637            595.13952637           3608.76489258           3608.76489258     1        2.73520
MOD:  1   2360000    1                 0            516.49151611            597.26397705           3650.55297852           3608.92431641     1        2.73532
MOD:  1   2370000    4                 0            599.68499756            599.50109863           3606.40209961           3606.40209961     1        2.73340
MOD:  1   2380000    1                 1            537.42675781            537.42675781           3639.27270508           3639.27270508     1        2.75832
MOD:  1   2390000    4                 0            509.63925171            506.07196045           3657.33886719           3657.33886719     1        2.77201
MOD:  1   2400000    2                 1            575.81762695            575.81762695           3618.23706055           3618.23706055     1        2.74237
MOD:  1   2410000    2                 1            532.59039307            532.59039307           3640.65625000           3640.65625000     1        2.75937
MOD:  1   2420000    4                -1            600.33703613            600.33703613           3607.72973633           3607.72973633     1        2.73441
MOD:  1   2430000    1                 0            683.22717285            608.41320801           3571.59155273           3604.81787109     1        2.73220
MOD:  1   2440000    2                 1            517.53558350            517.53558350           3649.44042969           3649.44042969     1        2.76602
MOD:  1   2450000    1                 0            386.52108765            560.23553467           3732.25512695           3625.91479492     1        2.74819
MOD:  1   2460000    2                 1            537.65319824            537.65319824           3638.42944336           3638.42944336     1        2.75768
MOD:  1   2470000    1                 0            684.76312256            608.25793457           3569.36767578           3603.31054688     1        2.73106
MOD:  1   2480000    4                 0            633.19451904            626.73785400           3597.67163086           3597.67163086     1        2.72679
MOD:  1   2490000    4                 0            541.87530518            539.16912842           3638.67456055           3638.67456055     1        2.75786
MOD:  1   2500000    5                 1            574.86853027            574.86853027           3619.24902344           3619.24902344     1        2.74314
MOD:  1   2510000    1                 1            573.45324707            573.45324707           3621.48828125           3621.48828125     1        2.74484
MOD:  1   2520000    4                 0            637.34448242            629.20098877           3592.53515625           3592.53515625     1        2.72289
MOD:  1   2530000    3                 0          35762.36328125            590.67834473           3611.87939453           3611.87939453     1        2.73756
MOD:  1   2540000    5                 1            608.53894043            608.53894043           3602.40332031           3602.40332031     1        2.73037
MOD:  1   2550000    5                 1            539.42700195            539.42700195           3637.33032227           3637.33032227     1        2.75685
MOD:  1   2560000    4                 1            533.07550049            533.07550049           3641.07250977           3641.07250977     1        2.75968
MOD:  1   2570000    2                 1            589.46594238            589.46594238           3614.43774414           3614.43774414     1        2.73949
MOD:  1   2580000    5                 1            562.29467773            562.29467773           3625.22680664           3625.22680664     1        2.74767
MOD:  1   2590000    5                 0            632.24951172            592.48687744           3612.10107422           3612.10107422     1        2.73772
MOD:  1   2600000    5                 1            589.99407959            589.99407959           3610.90991211           3610.90991211     1        2.73682
MOD:  1   2610000    2                 1            619.73126221            619.73126221           3597.01977539           3597.01977539     1        2.72629
MOD:  1   2620000    4                 0            571.50579834            569.39184570           3622.35986328           3622.35986328     1        2.74550
MOD:  1   2630000    2                 1            606.01464844            606.01464844           3603.73901367           3603.73901367     1        2.73139
MOD:  1   2640000    3                 1            609.14538574            609.14538574           3601.81396484           3601.81396484     1        2.72993
MOD:  1   2650000    5                 0        1340841.00000000            543.95782471           3636.88452148           3636.88452148     1        2.75651
MOD:  1   2660000    3                 0          28915.34570312            562.77239990           3625.45532227           3625.45532227     1        2.74785
MOD:  1   2670000    1                 0            383.96929932            600.71636963           3736.12182617           3607.89575195     1        2.73454
MOD:  1   2680000    4                -1            595.66015625            595.66015625           3610.14599609           3610.14599609     1        2.73624
MOD:  1   2690000    4                -1            587.37677002            587.37677002           3614.08911133           3614.08911133     1        2.73923
MOD:  1   2700000    4                -1            575.30523682            575.30523682           3618.40844727           3618.40844727     1        2.74250
MOD:  1   2710000    1                 1            613.71447754            613.71447754           3599.81176758           3599.81176758     1        2.72841
MOD:  1   2720000    4                 0            552.38824463            548.46752930           3633.21582031           3633.21582031     1        2.75373
MOD:  1   2730000    3                 1            557.38977051            557.38977051           3629.26025391           3629.26025391     1        2.75073
MOD:  1   2740000    5                 1            588.82324219            588.82324219           3611.92431641           3611.92431641     1        2.73759
MOD:  1   2750000    5                 0         482859.56250000            605.24011230           3604.87426758           3604.87426758     1        2.73225
MOD:  1   2760000    5                 0          95157.29687500            553.13336182           3629.58154297           3629.58154297     1        2.75097
MOD:  1   2770000    1                 0            929.17395020            599.33758545           3481.98168945           3607.60351562     1        2.73431
MOD:  1   2780000    1                -1            549.18750000            549.18750000           3633.30419922           3633.30419922     1        2.75379
MOD:  1   2790000    4                 0            565.72747803            561.07415771           3625.61083984           3625.61083984     1        2.74796
MOD:  1   2800000    5                 1            592.81817627            592.81817627           3611.61108398           3611.61108398     1        2.73735
MOD:  1   2810000    2                 1            579.28161621            579.28161621           3619.12695312           3619.12695312     1        2.74305
